"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","year"
"3791",3792,"RI","Rhode Island","01","H2RI01178","","Brendan P.","Doherty","Doherty, Brendan P.","","R","Unopposed","","","","83,737","40.82%","","","","","","",NA,"2012"
"3792",3793,"RI","Rhode Island","01","H2RI01194","","David S.","Vogel","Vogel, David S.","","IND","","","","","12,504","6.10%","","","","","","",NA,"2012"
"3798",3799,"RI","Rhode Island","02","H0RI02139","(I)","James R.","Langevin","Langevin, James R.","","D","22,161","74.09%","","","124,067","55.72%","","","","","W","",NA,"2012"
"3799",3800,"RI","Rhode Island","02","H6RI02227","","John O.","Matson","Matson, John O.","","D","7,748","25.91%","","","","","","","","","","",NA,"2012"
"3801",3802,"RI","Rhode Island","02","H2RI02135","","Michael G.","Riley","Riley, Michael G.","","R","5,283","65.63%","","","78,189","35.12%","","","","","","",NA,"2012"
"3802",3803,"RI","Rhode Island","02","H0RI01115","","Kara D.","Russo","Russo, Kara D.","","R","1,488","18.48%","","","","","","","","","","",NA,"2012"
"3803",3804,"RI","Rhode Island","02","H0RI02212","","Michael J.","Gardiner","Gardiner, Michael J.","","R","825","10.25%","","","","","","","","","","",NA,"2012"
"3804",3805,"RI","Rhode Island","02","H0RI02246","","Donald F.","Robbio","Robbio, Donald F.","","R","454","5.64%","","","","","","","","","","",NA,"2012"
"3806",3807,"RI","Rhode Island","02","H2RI02143","","Abel G.","Collins","Collins, Abel G.","","IND","","","","","20,212","9.08%","","","","","","",NA,"2012"
"3813",3814,"RI","Rhode Island","S","S6RI00221","(I)","Sheldon","Whitehouse","Whitehouse, Sheldon","","D","60,754","100.00%","","","271,034","64.81%","","","","","W","",NA,"2012"
"3815",3816,"RI","Rhode Island","S","S2RI00071","","Benjamin Barrett, III","Hinckley","Hinckley, Benjamin Barrett, III","","R","6,934","100.00%","","","146,222","34.97%","","","","","","",NA,"2012"
"3823",3824,"SC","South Carolina","01","H0SC01279","(I)","Tim","Scott","Scott, Tim","","R","Unopposed","","","","179,908","62.03%","","","","","W","",NA,"2012"
"3824",3825,"SC","South Carolina","01","H2SC01069","","Bobbie","Rose","Rose, Bobbie","","D","Unopposed","","","","98,154","33.84%","","","103,557","35.71%","","",NA,"2012"
"3825",3826,"SC","South Carolina","01","H2SC01069","","Bobbie","Rose","Rose, Bobbie","","WF","*","","","","5,403","1.86%","","","103,557","35.71%","","* The Libertarian Party nominated by convention on April 21, 2012, the Green Party nominated by convention on April 28, 2012, and the Working Families Party nominated by convention on May 5, 2012.  Convention nominees are noted with an asterisk.",NA,"2012"
"3826",3827,"SC","South Carolina","01","H0SC01352","","Keith","Blandford","Blandford, Keith","","LIB","*","","","","6,334","2.18%","","","","","","* The Libertarian Party nominated by convention on April 21, 2012, the Green Party nominated by convention on April 28, 2012, and the Working Families Party nominated by convention on May 5, 2012.  Convention nominees are noted with an asterisk.",NA,"2012"
"3830",3831,"SC","South Carolina","02","H2SC02059","(I)","Joe","Wilson","Wilson, Joe","","R","23,062","80.58%","","","196,116","96.27%","","","","","W","",NA,"2012"
"3831",3832,"SC","South Carolina","02","H8SC02098","","Phil","Black","Black, Phil","","R","5,557","19.42%","","","","","","","","","","",NA,"2012"
"3836",3837,"SC","South Carolina","03","H0SC03077","(I)","Jeff","Duncan","Duncan, Jeff","","R","Unopposed","","","","169,512","66.54%","","","","","W","",NA,"2012"
"3837",3838,"SC","South Carolina","03","H8SC03062","","Brian Ryan B.","Doyle","Doyle, Brian Ryan B.","","D","4,782","66.00%","","","84,735","33.26%","","","","","","",NA,"2012"
"3838",3839,"SC","South Carolina","03","H2SC03115","","Cason","Gaither","Gaither, Cason","","D","2,464","34.00%","","","","","","","","","","",NA,"2012"
"3843",3844,"SC","South Carolina","04","H0SC04257","(I)","Trey","Gowdy","Gowdy, Trey","","R","Unopposed","","","","173,201","64.90%","","","","","W","",NA,"2012"
"3844",3845,"SC","South Carolina","04","H2SC04105","","Deb","Morrow","Morrow, Deb","","WF","*","","","","5,877","2.20%","","","89,964","33.71%","","* The Libertarian Party nominated by convention on April 21, 2012, the Green Party nominated by convention on April 28, 2012, and the Working Families Party nominated by convention on May 5, 2012.  Convention nominees are noted with an asterisk.",NA,"2012"
"3845",3846,"SC","South Carolina","04","H2SC04105","","Deb","Morrow","Morrow, Deb","","D","3,678","70.65%","","","84,087","31.51%","","","89,964","33.71%","","",NA,"2012"
"3846",3847,"SC","South Carolina","04","H2SC04097","","Jimmy","Tobias","Tobias, Jimmy","","D","1,528","29.35%","","","","","","","","","","",NA,"2012"
"3848",3849,"SC","South Carolina","04","H2SC04113","","Jeff","Sumerel","Sumerel, Jeff","","GRE","*","","","","3,390","1.27%","","","","","","* The Libertarian Party nominated by convention on April 21, 2012, the Green Party nominated by convention on April 28, 2012, and the Working Families Party nominated by convention on May 5, 2012.  Convention nominees are noted with an asterisk.",NA,"2012"
"3852",3853,"SC","South Carolina","05","H0SC05031","(I)","Mick","Mulvaney","Mulvaney, Mick","","R","Unopposed","","","","154,324","55.51%","","","","","W","",NA,"2012"
"3853",3854,"SC","South Carolina","05","H2SC05086","","Joyce","Knott","Knott, Joyce","","D","Unopposed","","","","113,904","40.97%","","","123,443","44.40%","","",NA,"2012"
"3854",3855,"SC","South Carolina","05","H2SC05086","","Joyce","Knott","Knott, Joyce","","WF","*","","","","9,539","3.43%","","","123,443","44.40%","","* The Libertarian Party nominated by convention on April 21, 2012, the Green Party nominated by convention on April 28, 2012, and the Working Families Party nominated by convention on May 5, 2012.  Convention nominees are noted with an asterisk.",NA,"2012"
"3858",3859,"SC","South Carolina","06","H2SC02042","(I)","James E. ""Jim""","Clyburn","Clyburn, James E. ""Jim""","","D","Unopposed","","","","218,717","93.62%","","","","","W","",NA,"2012"
"3859",3860,"SC","South Carolina","06","H0SC06211","","Nammu Y.","Muhammad","Muhammad, Nammu Y.","","GRE","*","","","","12,920","5.53%","","","","","","* The Libertarian Party nominated by convention on April 21, 2012, the Green Party nominated by convention on April 28, 2012, and the Working Families Party nominated by convention on May 5, 2012.  Convention nominees are noted with an asterisk.",NA,"2012"
"3863",3864,"SC","South Carolina","07","H2SC07066","","Tom","Rice","Rice, Tom","","R","10,252","27.36%","16,844","56.11%","153,068","55.51%","","","","","W","",NA,"2012"
"3864",3865,"SC","South Carolina","07","H2SC00020","","Andre","Bauer","Bauer, Andre","","R","12,037","32.13%","13,173","43.89%","","","","","","","","",NA,"2012"
"3865",3866,"SC","South Carolina","07","H2SC07074","","Jay","Jordan","Jordan, Jay","","R","8,107","21.64%","","","","","","","","","","",NA,"2012"
"3866",3867,"SC","South Carolina","07","H2SC07124","","Chad","Prosser","Prosser, Chad","","R","3,824","10.21%","","","","","","","","","","",NA,"2012"
"3867",3868,"SC","South Carolina","07","H8SC01082","","Katherine","Jenerette","Jenerette, Katherine","","R","1,457","3.89%","","","","","","","","","","",NA,"2012"
"3868",3869,"SC","South Carolina","07","H2SC07116","","Randal","Wallace","Wallace, Randal","","R","691","1.84%","","","","","","","","","","",NA,"2012"
"3869",3870,"SC","South Carolina","07","H0SC01204","","Dick","Withington","Withington, Dick","","R","641","1.71%","","","","","","","","","","",NA,"2012"
"3870",3871,"SC","South Carolina","07","H2SC07132","","Renee","Culler","Culler, Renee","","R","279","0.74%","","","","","","","","","","",NA,"2012"
"3871",3872,"SC","South Carolina","07","H2SC07090","","Jim","Mader","Mader, Jim","","R","180","0.48%","","","","","","","","","","",NA,"2012"
"3874",3875,"SC","South Carolina","07","H2SC07108","","Gloria Bromell","Tinubu","Tinubu, Gloria Bromell","","WF","*","","","","7,795","2.83%","","","122,389","44.39%","","* The Libertarian Party nominated by convention on April 21, 2012, the Green Party nominated by convention on April 28, 2012, and the Working Families Party nominated by convention on May 5, 2012.  Convention nominees are noted with an asterisk.",NA,"2012"
"3875",3876,"SC","South Carolina","07","H2SC07108","","Gloria Bromell","Tinubu","Tinubu, Gloria Bromell","","D","16,404","48.73%","17,930","72.70%","114,594","41.56%","","","122,389","44.39%","","",NA,"2012"
"3876",3877,"SC","South Carolina","07","H2SC07058","","Preston","Brittain","Brittain, Preston","","D","12,347","36.67%","6,733","27.30%","","","","","","","","",NA,"2012"
"3877",3878,"SC","South Carolina","07","H2SC07041","","Ted","Vick","Vick, Ted","","D","2,375","7.05%","","","","","","","","","","",NA,"2012"
"3878",3879,"SC","South Carolina","07","H2SC07033","","Parnell","Diggs","Diggs, Parnell","","D","1,408","4.18%","","","","","","","","","","",NA,"2012"
"3879",3880,"SC","South Carolina","07","H2SC07140","","Harry","Pavilack","Pavilack, Harry","","D","1,132","3.36%","","","","","","","","","","",NA,"2012"
"3887",3888,"SD","South Dakota","00","H0SD00054","(I)","Kristi","Noem","Noem, Kristi","","R","Unopposed","","","","207,640","57.45%","","","","","W","",NA,"2012"
"3888",3889,"SD","South Dakota","00","H2SD00134","","Matt","Varilek","Varilek, Matt","","D","21,759","71.92%","","","153,789","42.55%","","","","","","",NA,"2012"
"3889",3890,"SD","South Dakota","00","H2SD01033","","Jeff","Barth","Barth, Jeff","","D","8,494","28.08%","","","","","","","","","","",NA,"2012"
"3896",3897,"TN","Tennessee","01","H6TN01388","(I)","Phil","Roe","Roe, Phil","","R","53,490","100.00%","","","182,252","76.04%","","","","","W","",NA,"2012"
"3898",3899,"TN","Tennessee","01","H2TN01072","","Alan","Woodruff","Woodruff, Alan","","D","5,687","100.00%","","","47,663","19.89%","","","","","","",NA,"2012"
"3900",3901,"TN","Tennessee","01","H2TN01080","","Karen Sherry","Brackett","Brackett, Karen Sherry","","IND","","","","","4,837","2.02%","","","","","","",NA,"2012"
"3901",3902,"TN","Tennessee","01","H6TN01388","","Robert N.","Smith","Smith, Robert N.","","GRE","","","","","2,872","1.20%","","","","","","",NA,"2012"
"3902",3903,"TN","Tennessee","01","H2TN01098 ","","Michael D.","Salyer","Salyer, Michael D.","","IND","","","","","2,048","0.85%","","","","","","",NA,"2012"
"3905",3906,"TN","Tennessee","02","H8TN02069","(I)","John J., Jr.","Duncan","Duncan, John J., Jr.","","R","36,335","83.39%","","","196,894","74.44%","","","","","W","",NA,"2012"
"3906",3907,"TN","Tennessee","02","H2TN02096","","Joseph, Jr.","Leinweber","Leinweber, Joseph, Jr.","","R","3,919","8.99%","","","","","","","","","","",NA,"2012"
"3907",3908,"TN","Tennessee","02","H2TN02088 ","","Nick","Ciparro","Ciparro, Nick","","R","3,317","7.61%","","","","","","","","","","",NA,"2012"
"3909",3910,"TN","Tennessee","02","H2TN02021","","Troy Christopher","Goodale","Goodale, Troy Christopher","","D","5,617","100.00%","","","54,522","20.61%","","","","","","",NA,"2012"
"3911",3912,"TN","Tennessee","02","H2TN02112","","Norris","Dryer","Dryer, Norris","","GRE","","","","","5,733","2.17%","","","","","","",NA,"2012"
"3912",3913,"TN","Tennessee","02","H4TN02035","","Greg","Samples","Samples, Greg","","IND","","","","","4,382","1.66%","","","","","","",NA,"2012"
"3913",3914,"TN","Tennessee","02","H2TN02104","","Brandon","Stewart","Stewart, Brandon","","IND","","","","","2,974","1.12%","","","","","","",NA,"2012"
"3916",3917,"TN","Tennessee","03","H0TN03254","(I)","Chuck","Fleischmann","Fleischmann, Chuck","","R","29,947","39.07%","","","157,830","61.43%","","","","","W","",NA,"2012"
"3917",3918,"TN","Tennessee","03","H2TN03151","","Scottie","Mayfield","Mayfield, Scottie","","R","23,779","31.02%","","","","","","","","","","",NA,"2012"
"3918",3919,"TN","Tennessee","03","H2TN03128","","Weston","Wamp","Wamp, Weston","","R","21,997","28.70%","","","","","","","","","","",NA,"2012"
"3919",3920,"TN","Tennessee","03","H2TN03169","","Ron","Bhalla","Bhalla, Ron","","R","926","1.21%","","","","","","","","","","",NA,"2012"
"3921",3922,"TN","Tennessee","03","H2TN03144","","Mary M.","Headrick","Headrick, Mary M.","","D","14,925","67.03%","","","91,094","35.46%","","","","","","",NA,"2012"
"3922",3923,"TN","Tennessee","03","H2TN03136","","Bill","Taylor","Taylor, Bill","","D","7,342","32.97%","","","","","","","","","","",NA,"2012"
"3924",3925,"TN","Tennessee","03","H2TN03177","","Matthew","Deniston","Deniston, Matthew","","IND","","","","","7,905","3.08%","","","","","","",NA,"2012"
"3929",3930,"TN","Tennessee","04","H0TN04195","(I)","Scott","DesJarlais","DesJarlais, Scott","","R","36,088","76.76%","","","128,568","55.76%","","","","","W","",NA,"2012"
"3930",3931,"TN","Tennessee","04","H2TN04266","","Shannon","Kelley","Kelley, Shannon","","R","10,927","23.24%","","","","","","","","","","",NA,"2012"
"3932",3933,"TN","Tennessee","04","H2TN04258","","Eric","Stewart","Stewart, Eric","","D","17,378","100.00%","","","102,022","44.24%","","","","","","",NA,"2012"
"3936",3937,"TN","Tennessee","05","H2TN05131","(I)","Jim","Cooper","Cooper, Jim","","D","28,110","100.00%","","","171,621","65.23%","","","","","W","",NA,"2012"
"3938",3939,"TN","Tennessee","05","H2TN05271 ","","Brad","Staats","Staats, Brad","","R","5,462","26.42%","","","86,240","32.78%","","","","","","",NA,"2012"
"3939",3940,"TN","Tennessee","05","H0TN05150","","Bob","Ries","Ries, Bob","","R","5,422","26.22%","","","","","","","","","","",NA,"2012"
"3940",3941,"TN","Tennessee","05","H2TN05263","","John (Big John)","Smith","Smith, John (Big John)","","R","4,200","20.31%","","","","","","","","","","",NA,"2012"
"3941",3942,"TN","Tennessee","05","H2TN05255 ","","Justin","Jones","Jones, Justin","","R","3,381","16.35%","","","","","","","","","","",NA,"2012"
"3942",3943,"TN","Tennessee","05","H0TN05242",""," Tracy C.","Tarum","Tarum, Tracy C.","","R","2,212","10.70%","","","","","","","","","","",NA,"2012"
"3944",3945,"TN","Tennessee","05","H8TN05252","","John","Miglietta","Miglietta, John","","GRE","","","","","5,222","1.98%","","","","","","",NA,"2012"
"3948",3949,"TN","Tennessee","06","H0TN06257","(I)","Diane","Black","Black, Diane","","R","44,949","69.38%","","","184,383","76.43%","","","","","W","",NA,"2012"
"3949",3950,"TN","Tennessee","06","H0TN06224","","Lou Ann","Zelenik","Zelenik, Lou Ann","","R","19,836","30.62%","","","","","","","","","","",NA,"2012"
"3951",3952,"TN","Tennessee","06","H2TN06121","","Scott","Beasley","Beasley, Scott","","IND","","","","","34,766","14.41%","","","","","","",NA,"2012"
"3952",3953,"TN","Tennessee","06","H2TN06147","","Pat","Riley","Riley, Pat","","GRE","","","","","21,633","8.97%","","","","","","",NA,"2012"
"3953",3954,"TN","Tennessee","06","H2TN06139","","Rachel","Robinson","Robinson, Rachel","","W","","","","","455","0.19%","","","","","","",NA,"2012"
"3958",3959,"TN","Tennessee","07","H2TN06030","(I)","Marsha","Blackburn","Blackburn, Marsha","","R","41,524","100.00%","","","182,730","71.02%","","","","","W","",NA,"2012"
"3960",3961,"TN","Tennessee","07","H2TN07178","","Credo","Amouzouvik","Amouzouvik, Credo","","D","10,436","100.00%","","","61,679","23.97%","","","","","","",NA,"2012"
"3962",3963,"TN","Tennessee","07","H2TN07202","","Howard","Switzer","Switzer, Howard","","GRE","","","","","4,640","1.80%","","","","","","",NA,"2012"
"3963",3964,"TN","Tennessee","07","H2TN07160","","Jack","Arnold","Arnold, Jack","","IND","","","","","4,256","1.65%","","","","","","",NA,"2012"
"3964",3965,"TN","Tennessee","07","H2TN07186","","Wm. Ryan","Akin","Akin, Wm. Ryan","","IND","","","","","2,740","1.06%","","","","","","",NA,"2012"
"3965",3966,"TN","Tennessee","07","H2TN07194","","Leonard D. (Lenny)","Ladner","Ladner, Leonard D. (Lenny)","","IND","","","","","1,261","0.49%","","","","","","",NA,"2012"
"3968",3969,"TN","Tennessee","08","H0TN08246","(I)","Stephen Lee","Fincher","Fincher, Stephen Lee","","R","60,355","86.66%","","","190,923","68.33%","","","","","W","",NA,"2012"
"3969",3970,"TN","Tennessee","08","H2TN08143 ","","Annette","Justice","Justice, Annette","","R","9,288","13.34%","","","","","","","","","","",NA,"2012"
"3971",3972,"TN","Tennessee","08","H2TN08127","","Timothy D.","Dixon","Dixon, Timothy D.","","D","6,951","37.89%","","","79,490","28.45%","","","","","","",NA,"2012"
"3972",3973,"TN","Tennessee","08","H2TN08119","","Wes","Bradley","Bradley, Wes","","D","6,771","36.91%","","","","","","","","","","",NA,"2012"
"3973",3974,"TN","Tennessee","08","H2TN08135","","Christa","Stoscheck","Stoscheck, Christa","","D","4,621","25.19%","","","","","","","","","","",NA,"2012"
"3975",3976,"TN","Tennessee","08","H2TN08077","","James","Hart","Hart, James","","IND","","","","","6,139","2.20%","","","","","","",NA,"2012"
"3976",3977,"TN","Tennessee","08","H0TN08329","","Mark J.","Rawles","Rawles, Mark J.","","IND","","","","","2,870","1.03%","","","","","","",NA,"2012"
"3979",3980,"TN","Tennessee","09","H6TN09068","(I)","Steve","Cohen","Cohen, Steve","","D","49,585","89.30%","","","188,422","75.07%","","","","","W","",NA,"2012"
"3980",3981,"TN","Tennessee","09","H2TN09141","","Tomeka","Hart","Hart, Tomeka","","D","5,944","10.70%","","","","","","","","","","",NA,"2012"
"3982",3983,"TN","Tennessee","09","H0TN08287","","George S., Jr.","Flinn","Flinn, George S., Jr.","","R","11,748","63.95%","","","59,742","23.80%","","","","","","",NA,"2012"
"3983",3984,"TN","Tennessee","09","H0TN09061","","Charlotte","Bergmann","Bergmann, Charlotte","","R","4,398","23.94%","","","","","","","","","","",NA,"2012"
"3984",3985,"TN","Tennessee","09","H2TN09158","","Rollin Wilson","Stooksberry","Stooksberry, Rollin Wilson","","R","1,858","10.11%","","","","","","","","","","",NA,"2012"
"3985",3986,"TN","Tennessee","09","H8TN09056","","Ernest","Lunati","Lunati, Ernest","","R","368","2.00%","","","","","","","","","","",NA,"2012"
"3987",3988,"TN","Tennessee","09","H2TN09166","","Brian L.","Saulsberry","Saulsberry, Brian L.","","IND","","","","","1,448","0.58%","","","","","","",NA,"2012"
"3988",3989,"TN","Tennessee","09","H2TN09174","","Gregory M.","Joiner","Joiner, Gregory M.","","IND","","","","","1,372","0.55%","","","","","","",NA,"2012"
"3989",3990,"TN","Tennessee","09","H2TN09190","","Kimberlee E.","Smith","Smith, Kimberlee E.","","W","","","","","2","0.00%","","","","","","",NA,"2012"
"3995",3996,"TN","Tennessee","S","S6TN00216","(I)","Bob","Corker","Corker, Bob","","R","389,613","85.24%","","","1,506,443","64.89%","","","","","W","",NA,"2012"
"3996",3997,"TN","Tennessee","S","S2TN00215","","Zach","Poskevich","Poskevich, Zach","","R","28,311","6.19%","","","","","","","","","","",NA,"2012"
"3997",3998,"TN","Tennessee","S","S2TN00306","","Fred R.","Anderson","Anderson, Fred R.","","R","15,951","3.49%","","","","","","","","","","",NA,"2012"
"3998",3999,"TN","Tennessee","S","S2TN00314","","Mark Twain","Clemons","Clemons, Mark Twain","","R","11,795","2.58%","","","","","","","","","","",NA,"2012"
"3999",4000,"TN","Tennessee","S","S2TN00231","","Brenda S.","Lenard","Lenard, Brenda S.","","R","11,384","2.49%","","","","","","","","","","",NA,"2012"
"4001",4002,"TN","Tennessee","S","S8TN00279","","Mark E.","Clayton","Clayton, Mark E.","","D","48,196","29.93%","","","705,882","30.41%","","","","","","",NA,"2012"
"4002",4003,"TN","Tennessee","S","S2TN00082","","Gary Gene","Davis","Davis, Gary Gene","","D/W","24,814","15.41%","","","18","0.00%","","","","","","",NA,"2012"
"4003",4004,"TN","Tennessee","S","S2TN00264","","Park","Overall","Overall, Park","","D","24,289","15.08%","","","","","","","","","","",NA,"2012"
"4004",4005,"TN","Tennessee","S","S2TN00223","","Larry","Crim","Crim, Larry","","D/W","17,744","11.02%","","","218","0.01%","","","","","","",NA,"2012"
"4005",4006,"TN","Tennessee","S","S2TN00298","","Benjamin","Roberts","Roberts, Benjamin","","D","16,387","10.18%","","","","","","","","","","",NA,"2012"
"4006",4007,"TN","Tennessee","S","S2TN00272 ","","Dave","Hancock","Hancock, Dave","","D","16,194","10.06%","","","","","","","","","","",NA,"2012"
"4007",4008,"TN","Tennessee","S","S2TN00280","","T.K.","Owens","Owens, T.K.","","D","13,392","8.32%","","","","","","","","","","",NA,"2012"
"4009",4010,"TN","Tennessee","S","S2TN00355","","Martin","Pleasant","Pleasant, Martin","","GRE","","","","","38,472","1.66%","","","","","","",NA,"2012"
"4010",4011,"TN","Tennessee","S","S2TN00256","","Shaun E.","Crowell","Crowell, Shaun E.","","IND","","","","","20,936","0.90%","","","","","","",NA,"2012"
"4011",4012,"TN","Tennessee","S","S2TN00363","","Kermit","Steck","Steck, Kermit","","CON","","","","","18,620","0.80%","","","","","","",NA,"2012"
"4012",4013,"TN","Tennessee","S","S2TN00322","","James","Higdon","Higdon, James","","IND","","","","","8,085","0.35%","","","","","","",NA,"2012"
"4013",4014,"TN","Tennessee","S","S2TN00330","","Michel Joseph","Long","Long, Michel Joseph","","IND","","","","","8,080","0.35%","","","","","","",NA,"2012"
"4014",4015,"TN","Tennessee","S","S2TN00348","","Troy Stephen","Scoggin","Scoggin, Troy Stephen","","IND","","","","","7,148","0.31%","","","","","","",NA,"2012"
"4015",4016,"TN","Tennessee","S","S6TN00299","","David","Gatchell","Gatchell, David","","IND","","","","","6,523","0.28%","","","","","","",NA,"2012"
"4023",4024,"TN","Tennessee","S","S0TN00060","","Mary D.","Wright","Wright, Mary D.","","W","","","","","2","0.00%","","","","","","",NA,"2012"
"4027",4028,"TX","Texas","01","H4TX04039","(I)","Louie","Gohmert","Gohmert, Louie","","R","67,705","100.00%","","","178,322","71.43%","","","","","W","",NA,"2012"
"4029",4030,"TX","Texas","01","H2TX01062","","Shirley J.","McKellar","McKellar, Shirley J.","","D","8,207","100.00%","","","67,222","26.93%","","","","","","",NA,"2012"
"4031",4032,"TX","Texas","01","H2TX01070","","Clark","Patterson","Patterson, Clark","","LIB","*","","","","4,114","1.65%","","","","","","* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",NA,"2012"
"4034",4035,"TX","Texas","02","H4TX02108","(I)","Ted","Poe","Poe, Ted","","R","39,336","100.00%","","","159,664","64.82%","","","","","W","",NA,"2012"
"4036",4037,"TX","Texas","02","H2TX02094","","Jim","Dougherty","Dougherty, Jim","","D","6,676","100.00%","","","80,512","32.68%","","","","","","",NA,"2012"
"4038",4039,"TX","Texas","02","H2TX00130","","Kenneth","Duncan","Duncan, Kenneth","","LIB","*","","","","4,140","1.68%","","","","","","* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",NA,"2012"
"4039",4040,"TX","Texas","02","H2TX02102","","Mark A.","Roberts","Roberts, Mark A.","","GRE","*","","","","2,012","0.82%","","","","","","* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",NA,"2012"
"4042",4043,"TX","Texas","03","H2TX03118","(I)","Sam","Johnson","Johnson, Sam","","R","33,592","83.06%","","","187,180","100.00%","","","","","W","",NA,"2012"
"4043",4044,"TX","Texas","03","H8TX03065","","Harry","Pierce","Pierce, Harry","","R","4,848","11.99%","","","","","","","","","","",NA,"2012"
"4044",4045,"TX","Texas","03","H2TX03258","","Josh","Caesar","Caesar, Josh","","R","2,002","4.95%","","","","","","","","","","",NA,"2012"
"4048",4049,"TX","Texas","04","H0TX04037","(I)","Ralph M.","Hall","Hall, Ralph M.","","R","38,202","58.37%","","","182,679","72.97%","","","","","W","",NA,"2012"
"4049",4050,"TX","Texas","04","H4TX04070","","Steve","Clark","Clark, Steve","","R","13,719","20.96%","","","","","","","","","","",NA,"2012"
"4050",4051,"TX","Texas","04","H0TX04136","","Lou","Gigliotti","Gigliotti, Lou","","R","13,532","20.67%","","","","","","","","","","",NA,"2012"
"4052",4053,"TX","Texas","04","H8TX04139","","VaLinda","Hathcox","Hathcox, VaLinda","","D","7,389","100.00%","","","60,214","24.05%","","","","","","",NA,"2012"
"4054",4055,"TX","Texas","04","H2TX04082","","Thomas","Griffing","Griffing, Thomas","","LIB","*","","","","7,262","2.90%","","","","","","* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",NA,"2012"
"4055",4056,"TX","Texas","04","H2TX04090","","Fred","Rostek","Rostek, Fred","","W","","","","","188","0.08%","","","","","","",NA,"2012"
"4058",4059,"TX","Texas","05","H2TX05121","(I)","Jeb","Hensarling","Hensarling, Jeb","","R","41,348","100.00%","","","134,091","64.40%","","","","","W","",NA,"2012"
"4060",4061,"TX","Texas","05","H2TX05204","","Linda S.","Mrosko","Mrosko, Linda S.","","D","2,778","39.16%","1,848","60.83%","69,178","33.22%","","","","","","",NA,"2012"
"4061",4062,"TX","Texas","05","H0TX05091","","Tom","Berry","Berry, Tom","","D","2,219","31.28%","1,190","39.17%","","","","","","","","",NA,"2012"
"4062",4063,"TX","Texas","05","H2TX05212","","Pat","Wallace","Wallace, Pat","","D","2,097","29.56%","","","","","","","","","","",NA,"2012"
"4064",4065,"TX","Texas","05","H8TX05052","","Ken","Ashby","Ashby, Ken","","LIB","*","","","","4,961","2.38%","","","","","","* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",NA,"2012"
"4067",4068,"TX","Texas","06","H4TX06117","(I)","Joe L.","Barton","Barton, Joe L.","","R","26,192","63.22%","","","145,019","58.02%","","","","","W","",NA,"2012"
"4068",4069,"TX","Texas","06","H2TX06129","","Joe","Chow","Chow, Joe","","R","8,154","19.68%","","","","","","","","","","",NA,"2012"
"4069",4070,"TX","Texas","06","H2TX06111","","Frank C.","Kuchar","Kuchar, Frank C.","","R","4,725","11.41%","","","","","","","","","","",NA,"2012"
"4070",4071,"TX","Texas","06","H2TX30061","","Itamar","Gelbman","Gelbman, Itamar","","R","2,356","5.69%","","","","","","","","","","",NA,"2012"
"4072",4073,"TX","Texas","06","H2TX33123","","Kenneth","Sanders","Sanders, Kenneth","","D","6,609","61.25%","","","98,053","39.23%","","","","","","",NA,"2012"
"4073",4074,"TX","Texas","06","H2TX06178","","Brianna","Hinojosa-Flores","Hinojosa-Flores, Brianna","","D","3,483","32.28%","","","","","","","","","","",NA,"2012"
"4074",4075,"TX","Texas","06","H2TX06137","","Don","Jaquess","Jaquess, Don","","D","698","6.47%","","","","","","","","","","",NA,"2012"
