"","STATE.ABBREVIATION","candidate.last","year","X","X1","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman"
"91","AL","Brooks",2014,22102,23,"Alabama","05","H0AL05163","(I)","Mo","Brooks, Mo",NA,"R","49,117","80.32%","","","115,338","74.42%",0
"92","AL","Byrne",2014,124,2,"Alabama","01","H4AL01123","(I)","Bradley","Byrne, Bradley",NA,"R","Unopposed","","","","103,758","68.16%",0
"93","AL","Casson",2014,1226,13,"Alabama","03","H4AL03053","","Thomas","Casson, Thomas",NA,"R","15,999","24.11%","","","","",0
"94","AL","Chamberlain",2010,49,50,"Alabama","07","H0AL07177","","Don","Chamberlain, Don",NA,"R","6,166","37.58%","11,783","55.76%","51,890","27.50%",0
"95","AL","Chamberlain",2012,47100,48,"Alabama","07","H0AL07177","","Don","Chamberlain, Don",NA,"R","11,537","66.10%","","","73,835","24.09%",0
"96","AL","Cooke",2010,39,40,"Alabama","06","H0AL06088","","Stan","Cooke, Stan",NA,"R","25,997","24.36%","","","","",0
"97","AL","Crawley",2008,6,7,"Alabama","02","H8AL02155","","Cendie","Crawley, Cendie",NA,"D","5,110","17.50%","","","","",1
"98","AL","Davis",2008,43,44,"Alabama","07","H0AL07060","(I)","Artur","Davis, Artur",NA,"D","Unopposed","","","","228,518","98.63%",0
"99","AL","De Moore",2010,64,65,"Alabama","S","S0AL00172","","Simone D.","De Moore, Simone D.",NA,"D","103,942","39.23%","","","","",0
"100","AL","DeMarco",2014,30100,31,"Alabama","06","H4AL06080","","Paul","DeMarco, Paul",NA,"R","30,894","32.68%","27,333","36.51%","","",0
"101","AL","Figures",2008,50,51,"Alabama","S","S8AL00282","","Vivian Davis","Figures, Vivian Davis",NA,"D","112,074","63.72%","","","752,391","36.52%",1
"102","AL","Ford",2012,1131,12,"Alabama","02","H2AL02141","","Therese","Ford, Therese",NA,"D","Unopposed","","","","103,092","36.31%",1
"103","AL","Fuller",2008,3,4,"Alabama","01","H8AL01058","","Thomas E.","Fuller, Thomas E. #",NA,"D","Unopposed","","","","#","",0
"104","AL","Gavin",2008,48,49,"Alabama","S","S8AL00167","","Earl Mack","Gavin, Earl Mack",NA,"R","16,718","7.73%","","","","",0
"105","AL","Gounares",2010,2,3,"Alabama","01","H0AL01030","","Peter","Gounares, Peter",NA,"R","18,725","24.75%","","","","",0
"106","AL","Gounares",2012,51000,6,"Alabama","01","H0AL01030","","Peter","Gounares, Peter",NA,"R","3,854","4.40%","","","","",0
"107","AL","Griffith",2008,28,29,"Alabama","05","H8AL05109","","Parker","Griffith, Parker",NA,"D","34,543","89.92%","","","158,324","51.52%",0
"108","AL","Griffith",2010,27,28,"Alabama","05","H8AL05109","(I)","Parker","Griffith, Parker",NA,"R","23,525","33.44%","","","","",0
"109","AL","Griffith",2012,28100,29,"Alabama","05","H8AL05109","","Parker","Griffith, Parker",NA,"R","26,694","29.06%","","","","",0
"110","AL","Grimes",2008,13,14,"Alabama","02","H8AL02114","","David","Grimes, David",NA,"R","2,324","4.10%","","","","",0
"111","AL","Guthrie",2008,32,33,"Alabama","05","H8AL05133","","Cheryl Baswell","Guthrie, Cheryl Baswell",NA,"R","6,942","18.30%","4,330","21.27%","","",1
"112","AL","Harris",2012,16,17,"Alabama","03","H2AL03099","","John Andrew","Harris, John Andrew",NA,"D","Unopposed","","","","98,141","35.83%",0
"113","AL","Hendrickson",2010,52100,53,"Alabama","07","H0AL07169","","Carol F.","Hendrickson, Carol F.",NA,"R","2,610","15.91%","","","","",1
"114","AL","Hill",2014,23100,24,"Alabama","05","H4AL05074","","Jerry","Hill, Jerry",NA,"R","12,038","19.68%","","","","",0
"115","AL","Hilliard",2010,46,47,"Alabama","07","H0AL07094","","Earl, Jr.","Hilliard, Earl, Jr.",NA,"D","22,981","26.82%","","","","",0
"116","AL","Holley",2012,304,31,"Alabama","05","H2AL05094","","Charlie L.","Holley, Charlie L.",NA,"D","Unopposed","","","","101,772","34.94%",0
"117","AL","Howie",2010,3218,33,"Alabama","05","H0AL05171","","Mitchell J.","Howie, Mitchell J.",NA,"D","5,277","11.70%","","","","",0
"118","AL","Huff",2008,36,37,"Alabama","05","H8AL05158","","Mark","Huff, Mark",NA,"R","707","1.86%","","","","",0
