"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","FOOTNOTES","X","X.1","X.2","year"
"180",181,"Arizona","AZ","04","H0AZ04501","","Joe","Penalosa","Penalosa, Joe","","R","5,368","39.90%","","","","","","","","",NA,NA,"2010"
"182",183,"Arizona","AZ","04","H8AZ04124","","Joe","Cobb","Cobb, Joe","","LIB","219","100.00%","","","2,718","2.96%","","","","",NA,NA,"2010"
"184",185,"Arizona","AZ","04","H8AZ04116","","Rebecca","Dewitt","Dewitt, Rebecca","","GRE","148","100.00%","","","2,365","2.57%","","","","",NA,NA,"2010"
"188",189,"Arizona","AZ","05","H4AZ06045","","David","Schweikert","Schweikert, David","","R","26,678","37.23%","","","110,374","52.00%","","","","",NA,NA,"2010"
"189",190,"Arizona","AZ","05","H0AZ05078","","Jim","Ward","Ward, Jim","","R","18,480","25.79%","","","","","","","","",NA,NA,"2010"
"190",191,"Arizona","AZ","05","H4AZ01061","","Susan","Bitter Smith","Bitter Smith, Susan","","R","17,297","24.14%","","","","","","","","",NA,NA,"2010"
"191",192,"Arizona","AZ","05","H0AZ05102","","Chris","Salvino","Salvino, Chris","","R","7,156","9.99%","","","","","","","","",NA,NA,"2010"
"192",193,"Arizona","AZ","05","H8AZ05121","","Lee","Gentry","Gentry, Lee","","R","1,157","1.61%","","","","","","","","",NA,NA,"2010"
"193",194,"Arizona","AZ","05","H0AZ05110","","Mark","Spinks","Spinks, Mark","","R","884","1.23%","","","","","","","","",NA,NA,"2010"
"195",196,"Arizona","AZ","05","H6AZ05067","(I)","Harry","Mitchell","Mitchell, Harry","","D","29,716","100.00%","","","91,749","43.23%","","","","",NA,NA,"2010"
"197",198,"Arizona","AZ","05","H0AZ05136","","Nick","Coons","Coons, Nick","","LIB","306","100.00%","","","10,127","4.77%","","","","",NA,NA,"2010"
"199",200,"Arizona","AZ","05","H0AZ05144 ","","Ryan ","Blackman","Blackman, Ryan ","","W(GRE)","4","100.00%","","","","","","","","",NA,NA,"2010"
