"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","FOOTNOTES","X","X.1","X.2","year"
"2824",2825,"Montana","MT","00","H0MT00082","","Mark T.","French","French, Mark T.","","R","25,344","19.56%","","","","","","","","",NA,NA,"2010"
"2825",2826,"Montana","MT","00","H0MT00058","","A.J.","Otjen","Otjen, A.J.","","R","7,461","5.76%","","","","","","","","",NA,NA,"2010"
"2827",2828,"Montana","MT","00","H0MT00041","","Dennis","McDonald","McDonald, Dennis","","D","24,014","38.42%","","","121,954","33.84%","","","","",NA,NA,"2010"
"2828",2829,"Montana","MT","00","H0MT01072","","Tyler","Gernant","Gernant, Tyler","","D","15,177","24.28%","","","","","","","","",NA,NA,"2010"
"2829",2830,"Montana","MT","00","H0MT00066","","Melinda","Gopher","Gopher, Melinda","","D","13,170","21.07%","","","","","","","","",NA,NA,"2010"
"2830",2831,"Montana","MT","00","H0MT00074","","Sam","Rankin","Rankin, Sam","","D","10,138","16.22%","","","","","","","","",NA,NA,"2010"
"2832",2833,"Montana","MT","00","H8MT01141","","Mike","Fellows","Fellows, Mike","","LIB","Unopposed","","","","20,691","5.74%","","","","",NA,NA,"2010"
"2836",2837,"Nebraska","NE","01","H4NE01064","(I)","Jeff","Fortenberry","Fortenberry, Jeff","","R","55,283","84.25%","","","116,871","71.27%","","","","",NA,NA,"2010"
"2837",2838,"Nebraska","NE","01","H0NE01104","","David L.","Hunt","Hunt, David L.","","R","6,536","9.96%","","","","","","","","",NA,NA,"2010"
"2838",2839,"Nebraska","NE","01","H0NE01096","","Ralph M.","Bodie","Bodie, Ralph M.","","R","3,800","5.79%","","","","","","","","",NA,NA,"2010"
"2840",2841,"Nebraska","NE","01","H4NE01064","(I)","Jeff","Fortenberry","Fortenberry, Jeff","","N(REP)","2,107","74.61%","","","","","","","","",NA,NA,"2010"
"2841",2842,"Nebraska","NE","01","H0NE01104","","David L.","Hunt","Hunt, David L.","","N(REP)","464","16.43%","","","","","","","","",NA,NA,"2010"
"2842",2843,"Nebraska","NE","01","H0NE01096","","Ralph M.","Bodie","Bodie, Ralph M.","","N(REP)","253","8.96%","","","","","","","","",NA,NA,"2010"
"2844",2845,"Nebraska","NE","01","H0NE01062","","Ivy","Harper","Harper, Ivy","","D","11,573","37.58%","","","47,106","28.73%","","","","",NA,NA,"2010"
"2845",2846,"Nebraska","NE","01","H0NE01070","","Jessica Lynn","Turek","Turek, Jessica Lynn","","D","11,283","36.64%","","","","","","","","",NA,NA,"2010"
"2846",2847,"Nebraska","NE","01","H0NE01054","","Stanley E.","Krauter","Krauter, Stanley E.","","D","4,014","13.03%","","","","","","","","",NA,NA,"2010"
"2847",2848,"Nebraska","NE","01","H0NE01088","","Sherman","Yates","Yates, Sherman","","D","3,927","12.75%","","","","","","","","",NA,NA,"2010"
"2849",2850,"Nebraska","NE","01","H0NE01062","","Ivy","Harper","Harper, Ivy","","N(DEM)","676","43.78%","","","","","","","","",NA,NA,"2010"
"2850",2851,"Nebraska","NE","01","H0NE01070","","Jessica Lynn","Turek","Turek, Jessica Lynn","","N(DEM)","564","36.53%","","","","","","","","",NA,NA,"2010"
"2851",2852,"Nebraska","NE","01","H0NE01088","","Sherman","Yates","Yates, Sherman","","N(DEM)","173","11.20%","","","","","","","","",NA,NA,"2010"
"2852",2853,"Nebraska","NE","01","H0NE01054","","Stanley E.","Krauter","Krauter, Stanley E.","","N(DEM)","131","8.48%","","","","","","","","",NA,NA,"2010"
"2856",2857,"Nebraska","NE","02","H8NE02139","(I)","Lee","Terry","Terry, Lee","","R","18,172","63.50%","","","93,840","60.81%","","","","",NA,NA,"2010"
"2857",2858,"Nebraska","NE","02","H0NE02136","","Matt","Sakalosky","Sakalosky, Matt","","R","10,445","36.50%","","","","","","","","",NA,NA,"2010"
"2859",2860,"Nebraska","NE","02","H0NE02136","","Matt","Sakalosky","Sakalosky, Matt","","N(REP)","371","54.80%","","","","","","","","",NA,NA,"2010"
"2860",2861,"Nebraska","NE","02","H8NE02139","(I)","Lee","Terry","Terry, Lee","","N(REP)","306","45.20%","","","","","","","","",NA,NA,"2010"
"2862",2863,"Nebraska","NE","02","H0NE02144","","Tom","White","White, Tom","","D","12,333","100.00%","","","60,486","39.19%","","","","",NA,NA,"2010"
"2864",2865,"Nebraska","NE","02","H0NE02144","","Tom","White","White, Tom","","N(DEM)","135","100.00%","","","","","","","","",NA,NA,"2010"
"2868",2869,"Nebraska","NE","03","H6NE03115","(I)","Adrian","Smith","Smith, Adrian","","R","65,539","88.01%","","","117,275","70.12%","","","","",NA,NA,"2010"
"2869",2870,"Nebraska","NE","03","H0NE03191","","Dennis L.","Parker ","Parker , Dennis L.","","R","8,930","11.99%","","","","","","","","",NA,NA,"2010"
"2871",2872,"Nebraska","NE","03","H6NE03115","(I)","Adrian","Smith","Smith, Adrian","","N(REP)","125","71.84%","","","","","","","","",NA,NA,"2010"
"2872",2873,"Nebraska","NE","03","H0NE03191","","Dennis L.","Parker ","Parker , Dennis L.","","N(REP)","49","28.16%","","","","","","","","",NA,NA,"2010"
"2874",2875,"Nebraska","NE","03","H0NE03175","","Rebekah","Davis","Davis, Rebekah","","D","16,425","100.00%","","","29,932","17.90%","","","","",NA,NA,"2010"
"2876",2877,"Nebraska","NE","03","H0NE03175","","Rebekah","Davis","Davis, Rebekah","","N(DEM)","43","100.00%","","","","","","","","",NA,NA,"2010"
"2878",2879,"Nebraska","NE","03","H0NE03209","","Dan ","Hill","Hill, Dan ","","BP","","","","","20,036","11.98%","","","","",NA,NA,"2010"
"2882",2883,"Nevada","NV","01","H8NV01071","(I)","Shelley","Berkley","Berkley, Shelley","","D","Unopposed","","","","103,246","61.75%","","","","",NA,NA,"2010"
"2883",2884,"Nevada","NV","01","H6NV01158","","Kenneth A.","Wegner","Wegner, Kenneth A.","","R","7,214","26.75%","","","58,995","35.28%","","","","",NA,NA,"2010"
"2884",2885,"Nevada","NV","01","H0NV01151","","Michele","Fiore","Fiore, Michele","","R","5,922","21.96%","","","","","","","","",NA,NA,"2010"
"2885",2886,"Nevada","NV","01","H0NV01110","","Craig O.","Lake","Lake, Craig O.","","R","5,277","19.57%","","","","","","","","",NA,NA,"2010"
"2886",2887,"Nevada","NV","01","H0NV01169","","Charles William, Sr.","Flume","Flume, Charles William, Sr.","","R","4,318","16.01%","","","","","","","","",NA,NA,"2010"
"2887",2888,"Nevada","NV","01","H0NV01144","","David R. ","Cunningham","Cunningham, David R. ","","R","2,051","7.60%","","","","","","","","",NA,NA,"2010"
"2888",2889,"Nevada","NV","01","H0NV01128 ","","Joseph Lance ","Tatner","Tatner, Joseph Lance ","","R","1,293","4.79%","","","","","","","","",NA,NA,"2010"
"2889",2890,"Nevada","NV","01","H6NV01182","","Michael Ace","Monroe","Monroe, Michael Ace","","R","456","1.69%","","","","","","","","",NA,NA,"2010"
"2890",2891,"Nevada","NV","01","H0NV01193 ","","Scott I.","Neistadt","Neistadt, Scott I.","","R","440","1.63%","","","","","","","","",NA,NA,"2010"
"2892",2893,"Nevada","NV","01","H0NV01177","","Jonathan J.","Hansen","Hansen, Jonathan J.","","IAP","","","","","2,847","1.70%","","","","",NA,NA,"2010"
"2893",2894,"Nevada","NV","01","H0NV01185","","Ed","Klapproth","Klapproth, Ed","","LIB","","","","","2,118","1.27%","","","","",NA,NA,"2010"
"2896",2897,"Nevada","NV","02","H6NV02164","(I)","Dean ","Heller","Heller, Dean ","","R","72,728","83.70%","","","169,458","63.30%","","","","",NA,NA,"2010"
"2897",2898,"Nevada","NV","02","H0NV02175","","Patrick J. ","Colletti","Colletti, Patrick J. ","","R","14,162","16.30%","","","","","","","","",NA,NA,"2010"
"2899",2900,"Nevada","NV","02","H0NV02191","","Nancy","Price","Price, Nancy","","D","18,609","45.36%","","","87,421","32.66%","","","","",NA,NA,"2010"
"2900",2901,"Nevada","NV","02","H0NV02126","","Ken ","McKenna","McKenna, Ken ","","D","18,259","44.51%","","","","","","","","",NA,NA,"2010"
"2901",2902,"Nevada","NV","02","H0NV02183","","Denis ""Sam""","Dehne","Dehne, Denis ""Sam""","","D","4,156","10.13%","","","","","","","","",NA,NA,"2010"
"2903",2904,"Nevada","NV","02","H0NV03017","","Russell ","Best","Best, Russell ","","IAP","","","","","10,829","4.05%","","","","",NA,NA,"2010"
"2906",2907,"Nevada","NV","03","H0NV03058 ","","Joe","Heck","Heck, Joe","","R","36,898","68.80%","","","128,916","48.13%","","","","",NA,NA,"2010"
"2907",2908,"Nevada","NV","03","H0NV03090","","Steven Patrick","Nohrden","Nohrden, Steven Patrick","","R","8,853","16.51%","","","","","","","","",NA,NA,"2010"
"2908",2909,"Nevada","NV","03","H0NV03066","","Edward Stafford, II","Bridges","Bridges, Edward Stafford, II","","R","6,066","11.31%","","","","","","","","",NA,NA,"2010"
"2909",2910,"Nevada","NV","03","H0NV03041","","Bradley K.","Lord-Leutwyler","Lord-Leutwyler, Bradley K.","","R","1,812","3.38%","","","","","","","","",NA,NA,"2010"
"2911",2912,"Nevada","NV","03","H8NV03036 ","(I)","Dina ","Titus","Titus, Dina ","","D","32,119","80.37%","","","127,168","47.47%","","","","",NA,NA,"2010"
"2912",2913,"Nevada","NV","03","H0NV03074 ","","John Martin, Jr.","Beard","Beard, John Martin, Jr.","","D","7,846","19.63%","","","","","","","","",NA,NA,"2010"
"2914",2915,"Nevada","NV","03","H6NV03014","","Barry ","Michaels","Michaels, Barry ","","IND","","","","","6,473","2.42%","","","","",NA,NA,"2010"
"2915",2916,"Nevada","NV","03","H4NV03076","","Joseph P.","Silvestri","Silvestri, Joseph P.","","LIB","","","","","4,026","1.50%","","","","",NA,NA,"2010"
"2916",2917,"Nevada","NV","03","H0NV03082","","Scott David ","Narter","Narter, Scott David ","","IAP","","","","","1,291","0.48%","","","","",NA,NA,"2010"
"2921",2922,"Nevada","NV","S","S6NV00028 ","(I)","Harry","Reid","Reid, Harry","","D","87,366","75.32%","","","362,785","50.29%","","","","",NA,NA,"2010"
"2923",2924,"Nevada","NV","S","S0NV00344 ","","Alex","Miller","Miller, Alex","","D","9,715","8.38%","","","","","","","","",NA,NA,"2010"
"2924",2925,"Nevada","NV","S","S6NV00168","","Eduardo ""Mr. Clean""","Hamilton","Hamilton, Eduardo ""Mr. Clean""","","D","4,644","4.00%","","","","","","","","",NA,NA,"2010"
"2925",2926,"Nevada","NV","S","S4NV00197","","Carlo","Poliak","Poliak, Carlo","","D","1,938","1.67%","","","","","","","","",NA,NA,"2010"
"2927",2928,"Nevada","NV","S","S0NV00138","","Sharron ","Angle","Angle, Sharron ","","R","70,424","40.09%","","","321,361","44.55%","","","","",NA,NA,"2010"
"2928",2929,"Nevada","NV","S","S0NV00252","","Sue","Lowden","Lowden, Sue","","R","45,871","26.11%","","","","","","","","",NA,NA,"2010"
"2929",2930,"Nevada","NV","S","S0NV00203","","Danny","Tarkanian","Tarkanian, Danny","","R","40,926","23.30%","","","","","","","","",NA,NA,"2010"
"2930",2931,"Nevada","NV","S","S0NV00179","","John ","Chachas","Chachas, John ","","R","6,926","3.94%","","","","","","","","",NA,NA,"2010"
"2931",2932,"Nevada","NV","S","S0NV00278 ","","Chad","Christensen","Christensen, Chad","","R","4,803","2.73%","","","","","","","","",NA,NA,"2010"
"2933",2934,"Nevada","NV","S","S0NV00146","","Bill ","Parson","Parson, Bill ","","R","1,483","0.84%","","","","","","","","",NA,NA,"2010"
"2934",2935,"Nevada","NV","S","S0NV00385 ","","Gary","Bernstein","Bernstein, Gary","","R","698","0.40%","","","","","","","","",NA,NA,"2010"
"2935",2936,"Nevada","NV","S","S0NV00294","","Garn ","Mabey","Mabey, Garn ","","R","462","0.26%","","","","","","","","",NA,NA,"2010"
"2936",2937,"Nevada","NV","S","S0NV00310 ","","Cecilia ","Stern","Stern, Cecilia ","","R","355","0.20%","","","","","","","","",NA,NA,"2010"
"2937",2938,"Nevada","NV","S","S0NV00336 ","","Brian ","Nadell","Nadell, Brian ","","R","235","0.13%","","","","","","","","",NA,NA,"2010"
"2938",2939,"Nevada","NV","S","S0NV00161 ","","Terry ","Suominen","Suominen, Terry ","","R","223","0.13%","","","","","","","","",NA,NA,"2010"
"2939",2940,"Nevada","NV","S","S4NV00205","","Gary ","Marinch","Marinch, Gary ","","R","178","0.10%","","","","","","","","",NA,NA,"2010"
"2942",2943,"Nevada","NV","S","S0NV00393","","Scott","Ashjian","Ashjian, Scott","","TPN","","","","","5,811","0.81%","","","","",NA,NA,"2010"
"2943",2944,"Nevada","NV","S","S0NV00369","","Michael L.","Haines","Haines, Michael L.","","IND","","","","","4,261","0.59%","","","","",NA,NA,"2010"
"2944",2945,"Nevada","NV","S","S0NV00286","","Tim","Fasano","Fasano, Tim","","IAP","","","","","3,185","0.44%","","","","",NA,NA,"2010"
"2945",2946,"Nevada","NV","S","S0NV00351","","Jesse ","Holland","Holland, Jesse ","","IND","","","","","3,175","0.44%","","","","",NA,NA,"2010"
"2946",2947,"Nevada","NV","S","S0NV00328 ","","Jeffrey C.","Reeves","Reeves, Jeffrey C.","","IND","","","","","2,510","0.35%","","","","",NA,NA,"2010"
"2947",2948,"Nevada","NV","S","S0NV00245","","Wil","Stand","Stand, Wil","","IND","","","","","2,119","0.29%","","","","",NA,NA,"2010"
"2950",2951,"New Hampshire","NH","01","H0NH01217","","Frank C. ","Guinta","Guinta, Frank C. ","","R","22,237","31.85%","","","121,655","53.97%","","","","",NA,NA,"2010"
"2951",2952,"New Hampshire","NH","01","H2NH01122","","Sean ","Mahoney","Mahoney, Sean ","","R","19,418","27.81%","","","","","","","","",NA,NA,"2010"
"2952",2953,"New Hampshire","NH","01","H0NH01225","","Richard ","Ashooh","Ashooh, Richard ","","R","19,376","27.75%","","","","","","","","",NA,NA,"2010"
"2953",2954,"New Hampshire","NH","01","H0NH01209","","Bob ","Bestani","Bestani, Bob ","","R","5,337","7.64%","","","","","","","","",NA,NA,"2010"
"2954",2955,"New Hampshire","NH","01","H8NH01111","","Peter J. ","Bearse","Bearse, Peter J. ","","R","1,158","1.66%","","","","","","","","",NA,NA,"2010"
"2955",2956,"New Hampshire","NH","01","H0NH01241","","Richard Charles ","Parent","Parent, Richard Charles ","","R","1,051","1.51%","","","","","","","","",NA,NA,"2010"
"2956",2957,"New Hampshire","NH","01","H0NH01258","","Kevin ","Rondeau","Rondeau, Kevin ","","R","702","1.01%","","","","","","","","",NA,NA,"2010"
"2957",2958,"New Hampshire","NH","01","H0NH01233","","Andrew P.","Kohlhofer","Kohlhofer, Andrew P.","","R","397","0.57%","","","","","","","","",NA,NA,"2010"
"2960",2961,"New Hampshire","NH","01","H6NH01230","(I)","Carol ","Shea-Porter","Shea-Porter, Carol ","","D","19,405","96.44%","","","95,503","42.37%","","","","",NA,NA,"2010"
"2963",2964,"New Hampshire","NH","01","H0NH01266","","Philip","Hodson","Hodson, Philip","","LIB","","","","","7,966","3.53%","","","","",NA,NA,"2010"
"2967",2968,"New Hampshire","NH","02","H0NH02017","","Charles ","Bass","Bass, Charles ","","R","27,457","42.48%","","","108,610","48.25%","","","","",NA,NA,"2010"
"2968",2969,"New Hampshire","NH","02","H8NH02192","","Jennifer ","Horn","Horn, Jennifer ","","R","22,868","35.38%","","","","","","","","",NA,NA,"2010"
"2969",2970,"New Hampshire","NH","02","H0NH02207","","Robert J. ","Giuda","Giuda, Robert J. ","","R","11,145","17.24%","","","","","","","","",NA,NA,"2010"
"2970",2971,"New Hampshire","NH","02","H0NH02249","","Joseph G. ","Reilly","Reilly, Joseph G. ","","R","1,757","2.72%","","","","","","","","",NA,NA,"2010"
"2971",2972,"New Hampshire","NH","02","H0NH02223","","Wesley M., Jr","Sonner","Sonner, Wesley M., Jr","","R","1,192","1.84%","","","","","","","","",NA,NA,"2010"
"2974",2975,"New Hampshire","NH","02","H0NH02181","","Ann McLane","Kuster","Kuster, Ann McLane","","D","25,431","70.94%","","","105,060","46.67%","","","","",NA,NA,"2010"
"2975",2976,"New Hampshire","NH","02","H0NH02215","","Katrina ","Swett","Swett, Katrina ","","D","10,100","28.17%","","","","","","","","",NA,NA,"2010"
"2978",2979,"New Hampshire","NH","02","H0NH02231","","Tim","vanBlommesteyn","vanBlommesteyn, Tim","","IND","","","","","6,197","2.75%","","","","",NA,NA,"2010"
"2979",2980,"New Hampshire","NH","02","H6NH02113","","Howard L.","Wilson","Wilson, Howard L.","","LIB","","","","","4,796","2.13%","","","","",NA,NA,"2010"
"2984",2985,"New Hampshire","NH","S","S0NH00235","","Kelly ","Ayotte","Ayotte, Kelly ","","R","53,056","38.21%","","","273,218","60.03%","","","","",NA,NA,"2010"
"2985",2986,"New Hampshire","NH","S","S0NH00268","","Ovide","Lamontagne","Lamontagne, Ovide","","R","51,397","37.01%","","","","","","","","",NA,NA,"2010"
"2986",2987,"New Hampshire","NH","S","S0NH00250","","Bill ","Binnie","Binnie, Bill ","","R","19,508","14.05%","","","","","","","","",NA,NA,"2010"
"2987",2988,"New Hampshire","NH","S","S0NH00243","","Jim ","Bender","Bender, Jim ","","R","12,611","9.08%","","","","","","","","",NA,NA,"2010"
"2988",2989,"New Hampshire","NH","S","S0NH00276","","Dennis","Lamare","Lamare, Dennis","","R","1,388","1.00%","","","","","","","","",NA,NA,"2010"
"2989",2990,"New Hampshire","NH","S","S4NH00062","","Tom ","Alciere","Alciere, Tom ","","R","499","0.36%","","","","","","","","",NA,NA,"2010"
"2990",2991,"New Hampshire","NH","S","S0NH00284","","Gerard","Beloin","Beloin, Gerard","","R","402","0.29%","","","","","","","","",NA,NA,"2010"
"2992",2993,"New Hampshire","NH","S","S0NH00235","","Paul W.","Hodes","Hodes, Paul W.","","D","49,845","100.00%","","","167,545","36.81%","","","","",NA,NA,"2010"
"2994",2995,"New Hampshire","NH","S","S0NH00292","","Chris","Booth","Booth, Chris","","IND","","","","","9,194","2.02%","","","","",NA,NA,"2010"
"2995",2996,"New Hampshire","NH","S","S2NH00157","","Ken","Blevens","Blevens, Ken","","LIB","","","","","4,753","1.04%","","","","",NA,NA,"2010"
"2999",3000,"New Jersey","NJ","01","H0NJ01066","(I)","Robert E.","Andrews","Andrews, Robert E.","","D","14,695","86.66%","","","106,334","63.19%","","","","",NA,NA,"2010"
"3000",3001,"New Jersey","NJ","01","H8NJ01150","","John ","Caramanna","Caramanna, John ","","D","2,262","13.34%","","","","","","","","",NA,NA,"2010"
"3002",3003,"New Jersey","NJ","01","H8NJ01135","","Dale","Glading","Glading, Dale","","R","5,315","54.81%","","","58,562","34.80%","","","","",NA,NA,"2010"
"3003",3004,"New Jersey","NJ","01","H0NJ01173","","Loran M.","Oglesby","Oglesby, Loran M.","","R","2,718","28.03%","","","","","","","","",NA,NA,"2010"
"3004",3005,"New Jersey","NJ","01","H8NJ01176","","Fernando","Powers","Powers, Fernando","","R","1,401","14.45%","","","","","","","","",NA,NA,"2010"
"3005",3006,"New Jersey","NJ","01","H0NJ01165","","Lee","Lucas","Lucas, Lee","","R","264","2.72%","","","","","","","","",NA,NA,"2010"
"3007",3008,"New Jersey","NJ","01","H0NJ01199","","Mark","Heacock","Heacock, Mark","","GRE","","","","","1,593","0.95%","","","","",NA,NA,"2010"
"3008",3009,"New Jersey","NJ","01","H8NJ01192","","Margaret M.","Chapman","Chapman, Margaret M.","","TCH","","","","","1,257","0.75%","","","","",NA,NA,"2010"
"3009",3010,"New Jersey","NJ","01","H0NJ01181","","Nicky I.","Petrutz","Petrutz, Nicky I.","","DAC","","","","","521","0.31%","","","","",NA,NA,"2010"
"3012",3013,"New Jersey","NJ","02","H2NJ02037","(I)","Frank A. ","LoBiondo","LoBiondo, Frank A. ","","R","19,337","78.06%","","","109,460","65.50%","","","","",NA,NA,"2010"
"3013",3014,"New Jersey","NJ","02","H0NJ02114","","Linda","Biamonte","Biamonte, Linda","","R","2,984","12.05%","","","","","","","","",NA,NA,"2010"
"3014",3015,"New Jersey","NJ","02","H8NJ02109","","Donna","Ward","Ward, Donna","","R","2,451","9.89%","","","","","","","","",NA,NA,"2010"
"3016",3017,"New Jersey","NJ","02","H8NJ02133","","Gary","Stein","Stein, Gary","","D","5,441","100.00%","","","51,690","30.93%","","","","",NA,NA,"2010"
"3018",3019,"New Jersey","NJ","02","H8NJ02117","","Peter F.","Boyce","Boyce, Peter F.","","CON","","","","","4,120","2.47%","","","","",NA,NA,"2010"
"3019",3020,"New Jersey","NJ","02","H0NJ02122","","Vitov","Valdes-Munoz","Valdes-Munoz, Vitov","","ALP","","","","","727","0.44%","","","","",NA,NA,"2010"
"3020",3021,"New Jersey","NJ","02","H0NJ02130","","Mark","Lovett","Lovett, Mark","","MLU","","","","","1,123","0.67%","","","","",NA,NA,"2010"
"3023",3024,"New Jersey","NJ","03","H0NJ03153","","Jon","Runyan","Runyan, Jon","","R","17,250","60.41%","","","110,215","50.03%","","","","",NA,NA,"2010"
"3024",3025,"New Jersey","NJ","03","H8NJ03180","","Justin Michael","Murphy","Murphy, Justin Michael","","R","11,304","39.59%","","","","","","","","",NA,NA,"2010"
"3026",3027,"New Jersey","NJ","03","H8NJ03156","(I)","John A.","Adler","Adler, John A.","","D","11,833","75.13%","","","104,252","47.32%","","","","",NA,NA,"2010"
"3027",3028,"New Jersey","NJ","03","H0NJ03161","","Barry D.","Bendar","Bendar, Barry D.","","D","3,916","24.87%","","","","","","","","",NA,NA,"2010"
"3029",3030,"New Jersey","NJ","03","H0NJ03179","","Peter","DeStefano","DeStefano, Peter","","NJT","","","","","3,284","1.49%","","","","",NA,NA,"2010"
"3030",3031,"New Jersey","NJ","03","H0NJ03187","","Russ","Conger","Conger, Russ","","LIB","","","","","1,445","0.66%","","","","",NA,NA,"2010"
"3031",3032,"New Jersey","NJ","03","H0NJ03195","","Lawrence J. ","Donahue","Donahue, Lawrence J. ","","YCA","","","","","1,113","0.51%","","","","",NA,NA,"2010"
"3034",3035,"New Jersey","NJ","04","H8NJ04014","(I)","Christopher H.","Smith","Smith, Christopher H.","","R","21,723","68.83%","","","129,752","69.41%","","","","",NA,NA,"2010"
"3035",3036,"New Jersey","NJ","04","H8NJ12074","","Alan","Bateman","Bateman, Alan","","R","9,839","31.17%","","","","","","","","",NA,NA,"2010"
"3037",3038,"New Jersey","NJ","04","H0NJ04086","","Howard","Kleinhendler","Kleinhendler, Howard","","D","7,976","100.00%","","","52,118","27.88%","","","","",NA,NA,"2010"
"3039",3040,"New Jersey","NJ","04","H0NJ04110","","Joe","Siano","Siano, Joe","","LIB","","","","","2,912","1.56%","","","","",NA,NA,"2010"
"3040",3041,"New Jersey","NJ","04","H8NJ04154","","Steven ","Welzer","Welzer, Steven ","","GRE","","","","","1,574","0.84%","","","","",NA,NA,"2010"
"3041",3042,"New Jersey","NJ","04","H0NJ04102","","David R.","Meiswinkle","Meiswinkle, David R.","","ARM","","","","","582","0.31%","","","","",NA,NA,"2010"
"3044",3045,"New Jersey","NJ","05","H8NJ05052","(I)","Scott","Garrett","Garrett, Scott","","R","29,523","100.00%","","","124,030","64.94%","","","","",NA,NA,"2010"
"3046",3047,"New Jersey","NJ","05","H0NJ05125","","Tod","Theise","Theise, Tod","","D","5,711","79.44%","","","62,634","32.79%","","","","",NA,NA,"2010"
"3047",3048,"New Jersey","NJ","05","H0NJ05133","","Anthony N., Jr.","Iannarelli","Iannarelli, Anthony N., Jr.","","D","1,478","20.56%","","","","","","","","",NA,NA,"2010"
"3049",3050,"New Jersey","NJ","05","H8NJ05102","","Ed","Fanning","Fanning, Ed","","GRE","","","","","2,347","1.23%","","","","",NA,NA,"2010"
"3050",3051,"New Jersey","NJ","05","H0NJ05158","","Mark D.","Quick","Quick, Mark D.","","FA","","","","","1,646","0.86%","","","","",NA,NA,"2010"
"3051",3052,"New Jersey","NJ","05","H0NJ05141","","James Douglas ","Radigan","Radigan, James Douglas ","","BD","","","","","336","0.18%","","","","",NA,NA,"2010"
"3054",3055,"New Jersey","NJ","06","H8NJ03073","(I)","Frank, Jr.","Pallone","Pallone, Frank, Jr.","","D","11,667","100.00%","","","81,933","54.75%","","","","",NA,NA,"2010"
"3056",3057,"New Jersey","NJ","06","H0NJ06164","","Anna C.","Little","Little, Anna C.","","R","6,804","50.31%","","","65,413","43.71%","","","","",NA,NA,"2010"
"3057",3058,"New Jersey","NJ","06","H0NJ06156","","Diane","Gooch","Gooch, Diane","","R","6,721","49.69%","","","","","","","","",NA,NA,"2010"
"3059",3060,"New Jersey","NJ","06","H0NJ06198","","Jack","Freudenheim","Freudenheim, Jack","","IND","","","","","1,299","0.87%","","","","",NA,NA,"2010"
"3060",3061,"New Jersey","NJ","06","H0NJ06180","","Karen Anne","Zaletal","Zaletal, Karen Anne","","GTP","","","","","1,017","0.68%","","","","",NA,NA,"2010"
"3063",3064,"New Jersey","NJ","07","H6NJ12136 ","(I)","Leonard","Lance","Lance, Leonard","","R","17,200","56.10%","","","105,084","59.37%","","","","",NA,NA,"2010"
"3064",3065,"New Jersey","NJ","07","H0NJ07196","","David","Larsen","Larsen, David","","R","9,475","30.91%","","","","","","","","",NA,NA,"2010"
"3065",3066,"New Jersey","NJ","07","H0NJ07220","","Alonzo ""Lon""","Hosford","Hosford, Alonzo ""Lon""","","R","2,534","8.27%","","","","","","","","",NA,NA,"2010"
"3066",3067,"New Jersey","NJ","07","H0NJ07238","","Bruce E.","Baker","Baker, Bruce E.","","R","1,448","4.72%","","","","","","","","",NA,NA,"2010"
"3068",3069,"New Jersey","NJ","07","H0NJ07212","","Ed","Potosnak","Potosnak, Ed","","D","8,176","100.00%","","","71,902","40.63%","","","","",NA,NA,"2010"
"3072",3073,"New Jersey","NJ","08","H6NJ08118","(I)","Bill, Jr.","Pascrell","Pascrell, Bill, Jr.","","D","13,213","100.00%","","","88,478","62.66%","","","","",NA,NA,"2010"
"3074",3075,"New Jersey","NJ","08","H8NJ08056","","Roland","Straten","Straten, Roland","","R","5,739","81.15%","","","51,023","36.13%","","","","",NA,NA,"2010"
"3075",3076,"New Jersey","NJ","08","H0NJ08103","","Blase","Billack","Billack, Blase","","R","1,333","18.85%","","","","","","","","",NA,NA,"2010"
"3077",3078,"New Jersey","NJ","08","H0NJ08111","","Raymond","Giangrasso","Giangrasso, Raymond","","IND","","","","","1,707","1.21%","","","","",NA,NA,"2010"
"3080",3081,"New Jersey","NJ","09","H6NJ09165","(I)","Steven R.","Rothman","Rothman, Steven R.","","D","14,973","100.00%","","","83,564","60.72%","","","","",NA,NA,"2010"
"3082",3083,"New Jersey","NJ","09","H0NJ00019","","Michael A.","Agosta","Agosta, Michael A.","","R","5,830","58.15%","","","52,082","37.84%","","","","",NA,NA,"2010"
"3083",3084,"New Jersey","NJ","09","H0NJ09135","","John","Aslanian","Aslanian, John","","R","3,629","36.20%","","","","","","","","",NA,NA,"2010"
"3084",3085,"New Jersey","NJ","09","H0NJ09150","","Sergey","Shevchuk","Shevchuk, Sergey","","R","567","5.66%","","","","","","","","",NA,NA,"2010"
"3086",3087,"New Jersey","NJ","09","H0NJ09168","","Patricia","Alessandrini","Alessandrini, Patricia","","GRE","","","","","1,980","1.44%","","","","",NA,NA,"2010"
"3089",3090,"New Jersey","NJ","10","H0NJ10026","(I)","Donald M.","Payne","Payne, Donald M.","","D","22,155","100.00%","","","95,299","85.18%","","","","",NA,NA,"2010"
"3091",3092,"New Jersey","NJ","10","H0NJ10158","","Michael J.","Alonso","Alonso, Michael J.","","R","1,061","100.00%","","","14,357","12.83%","","","","",NA,NA,"2010"
