"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","cluster","X_first_score","X_second_score"
"110",2008,"H8TX28013",0.775223756593109,0,0.0315965709538136,0,0.0219791286395851,0,0,0,0.171200543813492,0,0,5,-0.453014156807127,-0.0349694195772847
"111",2008,"H8VA10064",0.241593209271956,0,0,0,0,0,0,0,0,0.0333006856023506,0.725106105125694,6,0.0874487232949075,0.154485798708697
"112",2008,"H8VA11013",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"113",2008,"H8WA04071",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"114",2008,"H8WA05102",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"115",2008,"H8WI01081",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"116",2008,"P00003251",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"117",2008,"P80002801",0.998315667492551,0,0.00168433250744896,0,0,0,0,0,0,0,0,5,-0.676657371356127,-0.0665193592084282
"118",2008,"P80003338",0.991590678887373,0,0,0.00840932111262681,0,0,0,0,0,0,0,5,-0.670456260251607,-0.0654782972763996
"119",2008,"P80003411",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"120",2008,"P80004807",0.0755818248984115,0,0.871813816032508,0.0526043590690802,0,0,0,0,0,0,0,7,0.245150612845618,0.181704398962753
"121",2008,"P80004997",0.13567649281935,0,0.24546485260771,0.0283446712018141,0.212585034013605,0,0,0,0,0.377928949357521,0,4,0.27096518761925,0.121738984034809
"122",2008,"P80005085",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"123",2008,"S0NH00201",0.176175679557145,0,0,0,0,0,0,0,0,0,0.823824320442855,6,0.150384085234259,0.158962895041049
"124",2008,"S0NH00219",0.996568217073351,0,0,0,0.00268694752911629,0,0,0,0,0,0.00074483539753281,5,-0.674262323393382,-0.0685491392639899
"125",2008,"S2MN00126",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"126",2008,"S4IL00180",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"127",2008,"S6AZ00019",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"128",2008,"S6OR00094",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"129",2008,"S6VA00093",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"130",2008,"S8CO00172",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"131",2008,"S8KY00233",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"132",2008,"S8MI00299",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"133",2008,"S8MN00438",0.989668681441683,0,0,0,0.0103313185583165,0,0,0,0,0,0,5,-0.665524632530204,-0.073794113596749
"134",2008,"S8NM00184",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"135",2008,"H8AL05109",0,1,0,0,0,0,0,0,0,0,0,2,0.30103209780198,0.148667256028106
"136",2008,"H8GA06161",0,0.939948678904774,0,0,0,0,0,0,0.0477145193582043,0.00281984039703353,0.00951696133998816,2,0.301241959558195,0.150785228109986
"137",2008,"H8nj02091",0,1,0,0,0,0,0,0,0,0,0,2,0.30103209780198,0.148667256028106
"138",2008,"H8NM01174",0,1,0,0,0,0,0,0,0,0,0,2,0.30103209780198,0.148667256028106
"139",2008,"H0IL15053",0,0,0.963030672354256,0.0369693276457445,0,0,0,0,0,0,0,7,0.321941631736921,0.203945073151343
"140",2008,"H2AZ01149",0,0,0.801659751037344,0.198340248962656,0,0,0,0,0,0,0,7,0.311544125801469,0.188503103449098
"141",2008,"H4GA12010",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"142",2008,"H6CA24246",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"143",2008,"H6CA29161",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"144",2008,"H6TX09033",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"145",2008,"H8IN09032",0,0,0.987654320987654,0,0.0123456790123457,0,0,0,0,0,0,7,0.327266479779052,0.195953574047491
"146",2008,"H8NC05030",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"147",2008,"H8NY23100",0,0,0.00219517062462582,0,0,0,0,0,0,0.997804829375374,0,3,0.413648951268928,0.610725631065583
"148",2008,"H8TX18139",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"149",2008,"P80004013",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"150",2008,"S2OH00113",0,0,1,0,0,0,0,0,0,0,0,7,0.324323651994905,0.20748275659988
"151",2008,"H0IL16085",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"152",2008,"H0PA11050",0,0,0,0.648703384333022,0.000395550844105501,0,0,0,0.350901064822872,0,0,4,0.271791216794167,0.126272157583065
"153",2008,"H2CO04045",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"154",2008,"H2IL08039",0,0,0,0.879227053140097,0.120772946859903,0,0,0,0,0,0,4,0.296461528965179,0.0105619339634911
"155",2008,"H2IL20042",0,0,0,0.708171206225681,0,0.291828793774319,0,0,0,0,0,4,0.261274183147153,0.113127656333011
