,,"Use of this data for non-commercial purposes is encouraged, provided that clear and visible credit is given to Center for American Women and Politics, Eagleton Institute of Politics, Rutgers University-New Brunswick. Any use of this data for publication or public presentation must credit CAWP. Commercial reproduction requires prior permission in writing from the Center for American Women and Politics.

Suggested In-Text Attribution: Center for American Women and Politics (CAWP) at the Eagleton Institute of Politics at Rutgers University-New Brunswick
Suggested Citation: Center for American Women and Politics (CAWP). Women Statewide and Congressional Candidates Database. New Brunswick, NJ: Eagleton Institute of Politics, Rutgers University-New Brunswick.
",,,,,,,,,,
State,Office,District,First Name,Middle Name,Last Name,Party,Primary Seat Status,General Seat Status,Primary Results,General Result,Race,Year
WV,U.S. Representative,1,Patricia,VanGilder,Levenson,R,C,.,L,,W,2010
WV,U.S. Representative,1,Cindy,,Hall,R,C,.,L,,W,2010
WV,U.S. Representative,1,Sarah,M.,Minear,R,C,.,L,,W,2010
WY,U.S. Representative,AL,Cynthia,M.,Lummis,R,I,I,W,W,W,2010
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
